reference_number,origin,destination,equipment_type,rate,commodity
REF09460,Denver, CO,Detroit, MI,Dry Van,868,Automotive Parts
REF04684,Dallas, TX,Chicago, IL,Dry Van,570,Agricultural Products
REF09690,Detroit, MI,Nashville, TN,Dry Van,1495,Industrial Equipment
REF02389,Houston, TX,Phoenix, AZ,Flatbed,1250,Construction Materials
REF07823,Seattle, WA,Portland, OR,Reefer,750,Fresh Produce
REF05932,Miami, FL,Atlanta, GA,Dry Van,680,Retail Goods
REF08445,Chicago, IL,St. Louis, MO,Dry Van,425,General Freight
REF03278,Los Angeles, CA,Las Vegas, NV,Flatbed,890,Manufacturing Equipment
REF06754,Boston, MA,New York, NY,Dry Van,495,Consumer Goods
REF01567,Atlanta, GA,Charlotte, NC,Reefer,625,Frozen Foods
